n=m
n,m,elapsed,avg_dist
20,20,0.010702,5970.020575
50,50,0.015953,2692.730815
100,100,0.025286,1348.894613
200,200,0.054949,875.005880
500,500,0.152853,383.233535
1000,1000,0.276886,207.609626
2000,2000,0.554934,103.534284
5000,5000,1.452539,37.690614
10000,10000,3.287490,14.941074
20000,20000,6.074407,5.266036
50000,50000,16.080925,0.859773
n=10m
n,m,elapsed,avg_dist
20,2,0.008900,295878.444268
50,5,0.007009,23807.109820
100,10,0.015628,15249.793126
200,20,0.029062,5855.746805
500,50,0.099332,2578.727388
1000,100,0.231204,1318.875256
2000,200,0.405655,814.528566
5000,500,1.014042,357.772578
10000,1000,2.090514,191.165786
20000,2000,4.356410,94.538950
50000,5000,11.534905,33.903084
m=10n
n,m,elapsed,avg_dist
2,20,0.008596,55165.712630
5,50,0.006102,12970.819604
10,100,0.014914,7724.994099
20,200,0.033475,2875.926468
50,500,0.090583,1464.295702
100,1000,0.158815,743.187293
200,2000,0.287527,389.091660
500,5000,0.668548,185.306664
1000,10000,1.394323,101.644169
2000,20000,3.609991,51.897356
5000,50000,7.096242,18.523112
n constant
n,m,elapsed,avg_dist
50000,20,8.029906,5732.849886
50000,50,8.298339,2561.786078
50000,100,8.350234,1298.904860
50000,200,8.548746,811.106823
50000,500,8.556854,356.601771
50000,1000,8.803296,189.993782
50000,2000,8.994655,94.334391
50000,5000,10.226027,33.903084
50000,10000,10.429292,13.288677
50000,20000,11.213290,4.675203
50000,50000,13.931551,0.859773
m constant
n,m,elapsed,avg_dist
20,50000,70.053117,2464.235345
50,50000,37.427362,1296.930360
100,50000,29.974468,666.575831
200,50000,22.456745,357.347142
500,50000,14.383680,176.377581
1000,50000,10.345979,99.169254
2000,50000,8.242731,51.323215
5000,50000,6.423746,18.523112
10000,50000,6.345223,7.445739
20000,50000,7.929483,2.716711
50000,50000,13.826253,0.859773
